,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
15,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,House Stark, go on fathers watching,4,"['go', 'on', 'fathers', 'watching']","['go', 'fathers', 'watching']","['go', 'father', 'watching']", go father watching,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0016213086276780544,0.0027188155136268345,0.0011158449989855954,0.001479602621010357
16,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,House Stark, and your mother,3,"['and', 'your', 'mother']",['mother'],['mother'], mother,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013896931094383323,0.0013757861635220125,0.0,0.0
17,4/17/2011,Season 1,Episode 1,Winter is Coming,mordane,"Fine work, as always. Well done.",House Stark, fine work as always well done,6,"['fine', 'work', 'as', 'always', 'well', 'done']","['fine', 'work', 'always', 'well', 'done']","['fine', 'work', 'always', 'well', 'done']", fine work always well done,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.4404}",0.4404,0.0005558772437753329,0.0008254716981132076,0.0005477784540474741,0.0003804692454026633
18,4/17/2011,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,House Stark, thank you,2,"['thank', 'you']",['thank'],['thank'], thank,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,0.0,0.0,0.0,0.0
19,4/17/2011,Season 1,Episode 1,Winter is Coming,mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,House Stark, i love the detail that you have managed to get in this corners … quite beautiful … the stitching …,20,"['i', 'love', 'the', 'detail', 'that', 'you', 'have', 'managed', 'to', 'get', 'in', 'this', 'corners', 'quite', 'beautiful', 'the', 'stitching']","['love', 'detail', 'managed', 'get', 'corners', 'quite', 'beautiful', 'stitching']","['love', 'detail', 'managed', 'get', 'corner', 'quite', 'beautiful', 'stitching']", love detail managed get corner quite beautiful stitching,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.8553}",0.8553,0.0003039953676896352,0.00029481132075471697,0.00026628119293974436,0.0001585288522511097
20,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",House Stark, and which one of you was a marksman at ten keep practicing bran go on,15,"['and', 'which', 'one', 'of', 'you', 'was', 'a', 'marksman', 'at', 'ten', 'keep', 'practicing', 'bran', 'go', 'on']","['one', 'marksman', 'ten', 'keep', 'practicing', 'bran', 'go']","['one', 'marksman', 'ten', 'keep', 'practicing', 'bran', 'go']", one marksman ten keep practicing bran go,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0006452146579535115,0.0013617475292003595,0.0010868620119989566,0.0006341154090044388
21,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",House Stark, do not think too much bran,6,"['do', 'not', 'think', 'too', 'much', 'bran']","['think', 'much', 'bran']","['think', 'much', 'bran']", think much bran,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0009264620729588882,0.0009499475890985326,0.0006086427267194157,0.001479602621010357
22,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,House Stark, relax your bow arm,4,"['relax', 'your', 'bow', 'arm']","['relax', 'bow', 'arm']","['relax', 'bow', 'arm']", relax bow arm,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,0.0,0.0,0.0,0.0
23,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,"Quick, Bran, faster!",House Stark, quick bran faster,3,"['quick', 'bran', 'faster']","['quick', 'bran', 'faster']","['quick', 'bran', 'faster']", quick bran faster,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0005241090146750524,0.0,0.0
25,4/17/2011,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,House Stark, get the lads to saddle their horses,7,"['get', 'the', 'lads', 'to', 'saddle', 'their', 'horses']","['get', 'lads', 'saddle', 'horses']","['get', 'lad', 'saddle', 'horse']", get lad saddle horse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0003474232773595831,0.0005896226415094339,0.0,0.0003170577045022194
